E02002330;Leeds;1;E05001443;Wetherby
E02002331;Leeds;2;E05001443;Wetherby
E02002332;Leeds;3;E05001437;Otley and Yeadon
E02002333;Leeds;4;E05001437;Otley and Yeadon
E02002334;Leeds;5;E05001443;Wetherby
E02002335;Leeds;6;E05001426;Harewood
E02002336;Leeds;7;E05001411;Adel and Wharfedale
E02002337;Leeds;8;E05001425;Guiseley and Rawdon
E02002338;Leeds;9;E05001425;Guiseley and Rawdon
E02002339;Leeds;10;E05001425;Guiseley and Rawdon
E02002340;Leeds;11;E05001437;Otley and Yeadon
E02002341;Leeds;12;E05001412;Alwoodley
E02002342;Leeds;13;E05001411;Adel and Wharfedale
E02002343;Leeds;14;E05001425;Guiseley and Rawdon
E02002344;Leeds;15;E05001412;Alwoodley
E02002345;Leeds;16;E05001411;Adel and Wharfedale
E02002346;Leeds;17;E05001442;Weetwood
E02002347;Leeds;18;E05001412;Alwoodley
E02002348;Leeds;19;E05001442;Weetwood
E02002349;Leeds;20;E05001440;Roundhay
E02002350;Leeds;21;E05001428;Horsforth
E02002351;Leeds;22;E05001426;Harewood
E02002352;Leeds;23;E05001434;Moortown
E02002353;Leeds;24;E05001440;Roundhay
E02002354;Leeds;25;E05001434;Moortown
E02002356;Leeds;27;E05001428;Horsforth
E02002357;Leeds;28;E05001428;Horsforth
E02002358;Leeds;29;E05001421;Cross Gates and Whinmoor
E02002359;Leeds;30;E05001426;Harewood
E02002360;Leeds;31;E05001434;Moortown
E02002361;Leeds;32;E05001440;Roundhay
E02002362;Leeds;33;E05001432;Kirkstall
E02002363;Leeds;34;E05001419;Chapel Allerton
E02002364;Leeds;35;E05001430;Killingbeck and Seacroft
E02002366;Leeds;37;E05001440;Roundhay
E02002367;Leeds;38;E05001419;Chapel Allerton
E02002368;Leeds;39;E05001418;Calverley and Farsley
E02002369;Leeds;40;E05001430;Killingbeck and Seacroft
E02002370;Leeds;41;E05001421;Cross Gates and Whinmoor
E02002371;Leeds;42;E05001419;Chapel Allerton
E02002373;Leeds;44;E05001427;Headingley
E02002374;Leeds;45;E05001432;Kirkstall
E02002375;Leeds;46;E05001416;Bramley and Stanningley
E02002376;Leeds;47;E05001424;Gipton and Harehills
E02002377;Leeds;48;E05001424;Gipton and Harehills
E02002379;Leeds;50;E05001430;Killingbeck and Seacroft
E02002380;Leeds;51;E05001416;Bramley and Stanningley
E02002381;Leeds;52;E05001416;Bramley and Stanningley
E02002382;Leeds;53;E05001424;Gipton and Harehills
E02002383;Leeds;54;E05001427;Headingley
E02002384;Leeds;55;E05001429;Hyde Park and Woodhouse
E02002385;Leeds;56;E05001432;Kirkstall
E02002386;Leeds;57;E05001421;Cross Gates and Whinmoor
E02002387;Leeds;58;E05001416;Bramley and Stanningley
E02002388;Leeds;59;E05001414;Armley
E02002389;Leeds;60;E05001424;Gipton and Harehills
E02002390;Leeds;61;E05001430;Killingbeck and Seacroft
E02002391;Leeds;62;E05001418;Calverley and Farsley
E02002392;Leeds;63;E05001429;Hyde Park and Woodhouse
E02002393;Leeds;64;E05001417;Burmantofts and Richmond Hill
E02002394;Leeds;65;E05001417;Burmantofts and Richmond Hill
E02002395;Leeds;66;E05001418;Calverley and Farsley
E02002396;Leeds;67;E05001414;Armley
E02002397;Leeds;68;E05001438;Pudsey
E02002398;Leeds;69;E05001441;Temple Newsam
E02002399;Leeds;70;E05001417;Burmantofts and Richmond Hill
E02002400;Leeds;71;E05001414;Armley
E02002401;Leeds;72;E05001441;Temple Newsam
E02002402;Leeds;73;E05001441;Temple Newsam
E02002403;Leeds;74;E05001423;Garforth and Swillington
E02002404;Leeds;75;E05001417;Burmantofts and Richmond Hill
E02002405;Leeds;76;E05001438;Pudsey
E02002406;Leeds;77;E05001423;Garforth and Swillington
E02002407;Leeds;78;E05001422;Farnley and Wortley
E02002408;Leeds;79;E05001438;Pudsey
E02002409;Leeds;80;E05001422;Farnley and Wortley
E02002410;Leeds;81;E05001422;Farnley and Wortley
E02002411;Leeds;82;E05001415;Beeston and Holbeck
E02002412;Leeds;83;E05001422;Farnley and Wortley
E02002414;Leeds;85;E05001420;City and Hunslet
E02002415;Leeds;86;E05001420;City and Hunslet
E02002416;Leeds;87;E05001423;Garforth and Swillington
E02002417;Leeds;88;E05001431;Kippax and Methley
E02002418;Leeds;89;E05001431;Kippax and Methley
E02002419;Leeds;90;E05001415;Beeston and Holbeck
E02002420;Leeds;91;E05001415;Beeston and Holbeck
E02002421;Leeds;92;E05001433;Middleton Park
E02002422;Leeds;93;E05001435;Morley North
E02002423;Leeds;94;E05001433;Middleton Park
E02002424;Leeds;95;E05001435;Morley North
E02002425;Leeds;96;E05001435;Morley North
E02002426;Leeds;97;E05001439;Rothwell
E02002427;Leeds;98;E05001439;Rothwell
E02002428;Leeds;99;E05001433;Middleton Park
E02002429;Leeds;100;E05001439;Rothwell
E02002430;Leeds;101;E05001433;Middleton Park
E02002431;Leeds;102;E05001436;Morley South
E02002432;Leeds;103;E05001431;Kippax and Methley
E02002433;Leeds;104;E05001436;Morley South
E02002434;Leeds;105;E05001413;Ardsley and Robin Hood
E02002435;Leeds;106;E05001436;Morley South
E02002436;Leeds;107;E05001413;Ardsley and Robin Hood
E02002437;Leeds;108;E05001413;Ardsley and Robin Hood
E02006852;Leeds;109;E05001442;Weetwood
E02006861;Leeds;110;E05001427;Headingley
E02006875;Leeds;111;E05001420;City and Hunslet
E02006876;Leeds;112;E05001420;City and Hunslet
